# z  DH  sigDH  DM  sigDM  DV  sigDV
2.609045226130652928e-01 3.855760819525308307e+03 6.095585553948811253e+01 1.088153089518087654e+03 6.522995561768892969e+01 1.060044012685619236e+03 4.273000222323912567e+01
2.727638190954773667e-01 3.827757807821035840e+03 5.741425682459208701e+01 1.133713652233005632e+03 6.554788998656779597e+01 1.103009675832223365e+03 4.287130623119895745e+01
2.846231155778894406e-01 3.799870273014819759e+03 5.408428181366739551e+01 1.178942803667107682e+03 6.582869607039090454e+01 1.145534403314725978e+03 4.298712936935331186e+01
2.964824120603015145e-01 3.772103030206213589e+03 5.096306687322770301e+01 1.223841941847011412e+03 6.607694591974399145e+01 1.187620582427045747e+03 4.308082881967701638e+01
3.083417085427135884e-01 3.744460710803602069e+03 4.804826488935317030e+01 1.268412520813803212e+03 6.629670327524448226e+01 1.229270702590385554e+03 4.315540943754033520e+01
3.202010050251256068e-01 3.716947764578673741e+03 4.533801950742830655e+01 1.312656048456773533e+03 6.649158494603955205e+01 1.270487350983435363e+03 4.321356408373105751e+01
3.320603015075376807e-01 3.689568461875804132e+03 4.283091035191815621e+01 1.356574084372433163e+03 6.666481332795135017e+01 1.311273208227343048e+03 4.325770829975038367e+01
3.439195979899497546e-01 3.662326895964135474e+03 4.052586066144051813e+01 1.400168237750579465e+03 6.681926165687069386e+01 1.351631044129507472e+03 4.329001035889019278e+01
3.557788944723617730e-01 3.635226985511269049e+03 3.842199899428961629e+01 1.443440165288976004e+03 6.695749324782975975e+01 1.391563713488678786e+03 4.331241749737656477e+01
3.676381909547738469e-01 3.608272477185611024e+03 3.651846865759259941e+01 1.486391569138133491e+03 6.708179570944652426e+01 1.431074151966877025e+03 4.332667895746594411e+01
3.794974874371859208e-01 3.581466948361599407e+03 3.481418316503942378e+01 1.529024194877559466e+03 6.719421092445172405e+01 1.470165372029443461e+03 4.333436634310080393e+01
3.913567839195979947e-01 3.554813809922932251e+03 3.330753387645795272e+01 1.571339829524673632e+03 6.729656143379853006e+01 1.508840458956563907e+03 4.333689168809817716e+01
4.032160804020100131e-01 3.528316309163715687e+03 3.199606681995486923e+01 1.613340299577549104e+03 6.739047374283813951e+01 1.547102566930199828e+03 4.333552355889279539e+01
4.150753768844220870e-01 3.501977532759570749e+03 3.087615803433974193e+01 1.655027469092471165e+03 6.747739897483111804e+01 1.584954915196157799e+03 4.333140145302417068e+01
4.269346733668341609e-01 3.475800409818711159e+03 2.994272750871420996e+01 1.696403237797206657e+03 6.755863122353545691e+01 1.622400784305925981e+03 4.332554870740018771e+01
4.387939698492461793e-01 3.449787714991540270e+03 2.918903669530106981e+01 1.737469539240805034e+03 6.763532389817842727e+01 1.659443512438285097e+03 4.331888409275479290e+01
4.506532663316582532e-01 3.423942071637192839e+03 2.860660984916944827e+01 1.778228338980613444e+03 6.770850430734446945e+01 1.696086491803176386e+03 4.331223224144802231e+01
4.625125628140703271e-01 3.398265955037025833e+03 2.818530372993802757e+01 1.818681632807124060e+03 6.777908669063198488e+01 1.732333165128859036e+03 4.330633303231577713e+01
4.743718592964823455e-01 3.372761695645499003e+03 2.791352618835023591e+01 1.858831445007150933e+03 6.784788387636170626e+01 1.768187022233087191e+03 4.330185003777680208e+01
4.862311557788944194e-01 3.347431482377203793e+03 2.777857825001984082e+01 1.898679826665778137e+03 6.791561771865193009e+01 1.803651596680203511e+03 4.329937812362484095e+01
4.980904522613064933e-01 3.322277365915103019e+03 2.776707417283901336e+01 1.938228854007410973e+03 6.798292844663978940e+01 1.838730462523468532e+03 4.329945028007309560e+01
5.099497487437185672e-01 3.297301262039308313e+03 2.786538512978468063e+01 1.977480626776186000e+03 6.805038304161296026e+01 1.873427231134083286e+03 4.330254375311780279e+01
5.218090452261305856e-01 3.272504954970558174e+03 2.806005583069676490e+01 2.016437266655942949e+03 6.811848274362778000e+01 1.907745548117357885e+03 4.330908553777534564e+01
5.336683417085426040e-01 3.247890100716113920e+03 2.833815640313293471e+01 2.055100915729863573e+03 6.818766977724672529e+01 1.941689090314955592e+03 4.331945728818467956e+01
5.455276381909547334e-01 3.223458230419386837e+03 2.868754894384185050e+01 2.093473734979812889e+03 6.825833337591836880e+01 1.975261562894446570e+03 4.333399969496942106e+01
5.573869346733667518e-01 3.199210753705328898e+03 2.909706423229807015e+01 2.131557902825376459e+03 6.833081517589013743e+01 2.008466696525520774e+03 4.335301637557261500e+01
5.692462311557788812e-01 3.175148962017758549e+03 2.955659609772144591e+01 2.169355613702528899e+03 6.840541404309777818e+01 2.041308244642792943e+03 4.337677732006604003e+01
5.811055276381910106e-01 3.151274031936416122e+03 3.005712783683339495e+01 2.206869076681754905e+03 6.848239039003163953e+01 2.073789980793104405e+03 4.340552193178265838e+01
5.929648241206030290e-01 3.127587028486879717e+03 3.059070753227511474e+01 2.244100514125470909e+03 6.856197003393604916e+01 2.105915696070458125e+03 4.343946169966558557e+01
6.048241206030150474e-01 3.104088908417473704e+03 3.115038845087677544e+01 2.281052160384501349e+03 6.864434764272398581e+01 2.137689196633286429e+03 4.347878253669485815e+01
