0.000000000000000000e+00 6.748618209674896207e+01 4.576699117957408802e+00
9.874371859296482770e-03 6.783103992849237329e+01 4.430460109241342259e+00
1.974874371859296554e-02 6.818070215231000475e+01 4.287880194580808713e+00
2.962311557788945005e-02 6.853517011817211824e+01 4.149029046581951263e+00
3.949748743718593108e-02 6.889444440236138689e+01 4.013981843906313074e+00
4.937185929648241905e-02 6.925852480414368983e+01 3.882819531062600582e+00
5.924623115577890009e-02 6.962741034259761364e+01 3.755629027546130150e+00
6.912060301507537419e-02 7.000109925357719476e+01 3.632503363951893771e+00
7.899497487437186216e-02 7.037958898681245046e+01 3.513541717666894826e+00
8.886934673366835014e-02 7.076287620316043103e+01 3.398849315162545182e+00
9.874371859296483811e-02 7.115095677199315105e+01 3.288537162219618004e+00
1.086180904522613122e-01 7.154382576875104860e+01 3.182721557879058860e+00
1.184924623115578002e-01 7.194147747260740289e+01 3.081523343380082824e+00
1.283668341708542882e-01 7.234390536431737928e+01 2.985066834494548349e+00
1.382412060301507484e-01 7.275110212418985611e+01 2.893478386037273253e+00
1.481155778894472363e-01 7.316305963021977732e+01 2.806884542050545051e+00
1.579899497487437243e-01 7.357976895636465997e+01 2.725409736108613146e+00
1.678643216080402123e-01 7.400122037097844441e+01 2.649173524758000831e+00
1.777386934673367003e-01 7.442740333539404674e+01 2.578287364487879429e+00
1.876130653266331605e-01 7.485830650264415453e+01 2.512850979188953282e+00
1.974874371859296762e-01 7.529391771636437625e+01 2.452948409321840995e+00
2.073618090452261364e-01 7.573422400982235558e+01 2.398643883411462951e+00
2.172361809045226244e-01 7.617921160511332346e+01 2.349977701419206699e+00
2.271105527638190846e-01 7.662886591250298807e+01 2.306962361076072554e+00
2.369849246231156004e-01 7.708317152993731725e+01 2.269579184164985275e+00
2.468592964824120606e-01 7.754211224270102321e+01 2.237775702239222397e+00
2.567336683417085763e-01 7.800567102322111168e+01 2.211464034765434405e+00
2.666080402010050365e-01 7.847383003104960153e+01 2.190520436257010761e+00
2.764824120603014967e-01 7.894657061298266854e+01 2.174786106396093821e+00
2.863567839195980125e-01 7.942387330334895523e+01 2.164069258615862079e+00
2.962311557788944727e-01 7.990571782444567361e+01 2.158148340860650105e+00
3.061055276381909329e-01 8.039208308714660234e+01 2.156776212336740439e+00
3.159798994974874486e-01 8.088294719165105562e+01 2.159685013749760962e+00
3.258542713567839089e-01 8.137828742840156337e+01 2.166591434105110459e+00
3.357286432160804246e-01 8.187808027916025821e+01 2.177202075690090943e+00
3.456030150753769403e-01 8.238230141823623853e+01 2.191218646939379955e+00
3.554773869346734005e-01 8.289092571387527641e+01 2.208342762327074826e+00
3.653517587939698608e-01 8.340392722981368934e+01 2.228280189449182824e+00
3.752261306532663210e-01 8.392127922698364273e+01 2.250744446797907194e+00
3.851005025125628367e-01 8.444295416537306664e+01 2.275459713823721586e+00
3.949748743718593524e-01 8.496892370605837641e+01 2.302163062810324234e+00
4.048492462311557571e-01 8.549915871337952922e+01 2.330606057806626552e+00
4.147236180904522729e-01 8.603362925728561095e+01 2.360555789119576531e+00
4.245979899497487886e-01 8.657230461583139913e+01 2.391795424295314554e+00
4.344723618090452488e-01 8.711515327783172324e+01 2.424124360067295925e+00
4.443467336683417090e-01 8.766214294567589604e+01 2.457358057013447450e+00
4.542211055276381693e-01 8.821324053830630874e+01 2.491327631759937766e+00
4.640954773869346850e-01 8.876841219432890284e+01 2.525879272351743143e+00
4.739698492462312007e-01 8.932762327531827395e+01 2.560873532290649734e+00
4.838442211055277165e-01 8.989083836924100979e+01 2.596184548825772431e+00
4.937185929648241212e-01 9.045802129406092718e+01 2.631699221720971593e+00
5.035929648241206369e-01 9.102913510149073772e+01 2.667316380566995715e+00
5.134673366834171526e-01 9.160414208089150634e+01 2.702945961678751452e+00
5.233417085427136684e-01 9.218300376333718305e+01 2.738508209768712121e+00
5.332160804020100731e-01 9.276568092583056568e+01 2.773932914905516078e+00
5.430904522613065888e-01 9.335213359566023428e+01 2.809158691549152209e+00
5.529648241206029935e-01 9.394232105493347262e+01 2.844132303532081796e+00
5.628391959798995092e-01 9.453620184523606440e+01 2.878808036708509821e+00
5.727135678391960250e-01 9.513373377244897711e+01 2.913147119422490494e+00
5.825879396984924297e-01 9.573487391173557626e+01 2.947117189706150331e+00
5.924623115577889454e-01 9.633957861264707390e+01 2.980691807440101204e+00
6.023366834170854611e-01 9.694780350439532413e+01 3.013850009092169824e+00
6.122110552763818658e-01 9.755950350127159254e+01 3.046575902402756331e+00
6.220854271356783816e-01 9.817463280820447835e+01 3.078858298205772837e+00
6.319597989949748973e-01 9.879314492647154111e+01 3.110690376527692536e+00
6.418341708542714130e-01 9.941499265955008013e+01 3.142069384146506383e+00
6.517085427135678177e-01 1.000401281191097951e+02 3.172996360878411526e+00
6.615829145728643335e-01 1.006685027311596059e+02 3.203475891972851652e+00
6.714572864321608492e-01 1.013000672423181641e+02 3.233515884159282816e+00
6.813316582914573649e-01 1.019347717262385231e+02 3.263127363015787985e+00
6.912060301507538806e-01 1.025725655901687787e+02 3.292324289498422374e+00
7.010804020100502854e-01 1.032133975816450402e+02 3.321123393634032084e+00
7.109547738693468011e-01 1.038572157953253736e+02 3.349544023489468891e+00
7.208291457286432058e-01 1.045039676799665358e+02 3.377608007724328676e+00
7.307035175879397215e-01 1.051536000455107569e+02 3.405339530104947610e+00
7.405778894472361262e-01 1.058060590703375965e+02 3.432765014532227266e+00
7.504522613065326420e-01 1.064612903086253937e+02 3.459913019212772944e+00
7.603266331658291577e-01 1.071192386978427749e+02 3.486814138708722144e+00
7.702010050251256734e-01 1.077798485663770407e+02 3.513500912728357406e+00
7.800753768844221891e-01 1.084430636412957938e+02 3.540007740547085113e+00
7.899497487437187049e-01 1.091088270562095204e+02 3.566370800100064020e+00
7.998241206030152206e-01 1.097770813592837840e+02 3.592627970791089975e+00
8.096984924623115143e-01 1.104477685213605582e+02 3.618818759190599366e+00
8.195728643216080300e-01 1.111208299442064344e+02 3.644984226813267281e+00
8.294472361809045458e-01 1.117962064688704231e+02 3.671166919264533313e+00
8.393216080402010615e-01 1.124738383841718132e+02 3.697410796091034069e+00
8.491959798994975772e-01 1.131536654353008089e+02 3.723761160704764706e+00
8.590703517587939819e-01 1.138356268325210294e+02 3.750264589864626519e+00
8.689447236180904977e-01 1.145196612600034314e+02 3.776968862187904730e+00
8.788190954773870134e-01 1.152057068847566370e+02 3.803922885290987210e+00
8.886934673366834181e-01 1.158937013656786803e+02 3.831176621156718642e+00
8.985678391959799338e-01 1.165835818626924265e+02 3.858781009427626696e+00
9.084422110552763385e-01 1.172752850460274203e+02 3.886787888381991518e+00
9.183165829145728543e-01 1.179687471055553942e+02 3.915249913378210156e+00
9.281909547738693700e-01 1.186639037602685676e+02 3.944220472675198153e+00
9.380653266331658857e-01 1.193606902678334336e+02 3.973753600550275600e+00
9.479396984924624014e-01 1.200590414342536860e+02 4.003903887743205381e+00
9.578140703517589172e-01 1.207588916236245495e+02 4.034726389290246296e+00
9.676884422110554329e-01 1.214601747679789696e+02 4.066276529916841298e+00
9.775628140703517266e-01 1.221628243772279347e+02 4.098610007184827708e+00
9.874371859296482423e-01 1.228667735491990243e+02 4.131782692690332937e+00
9.973115577889447581e-01 1.235719549797418040e+02 4.165850531646035471e+00
1.007185929648241274e+00 1.242783009729396326e+02 4.200869441260140391e+00
1.017060301507537678e+00 1.249857434513942280e+02 4.236895208359842790e+00
1.026934673366834305e+00 1.256942139665907234e+02 4.273983386762976622e+00
1.036809045226130710e+00 1.264036437093541281e+02 4.312189194968878425e+00
1.046683417085427337e+00 1.271139635203603575e+02 4.351567414688862989e+00
1.056557788944723519e+00 1.278251039007518557e+02 4.392172290898941789e+00
1.066432160804020146e+00 1.285369950227900517e+02 4.434057433962491857e+00
1.076306532663316551e+00 1.292495667406201392e+02 4.477275724482780994e+00
1.086180904522613178e+00 1.299627486010631401e+02 4.521879221499570001e+00
1.096055276381909582e+00 1.306764698545030114e+02 4.567919074612251329e+00
1.105929648241205987e+00 1.313906594658251379e+02 4.615445440634117880e+00
1.115804020100502614e+00 1.321052461254198533e+02 4.664507405290881259e+00
1.125678391959799018e+00 1.328201582602382587e+02 4.715152910471164915e+00
1.135552763819095645e+00 1.335353240449212535e+02 4.767428687472822446e+00
1.145427135678392050e+00 1.342506714129599459e+02 4.821380196619505121e+00
1.155301507537688455e+00 1.349661280679301854e+02 4.877051573556232533e+00
1.165175879396984859e+00 1.356816214947657500e+02 4.934485582490529154e+00
1.175050251256281486e+00 1.363970789710806457e+02 4.993723576517894891e+00
1.184924623115577891e+00 1.371124275785350619e+02 5.054805465153018318e+00
1.194798994974874518e+00 1.378275942142495296e+02 5.117769689063404570e+00
1.204673366834170922e+00 1.385425056022559147e+02 5.182653201963487888e+00
1.214547738693467549e+00 1.392570883049879740e+02 5.249491459534429083e+00
1.224422110552763732e+00 1.399712687348005602e+02 5.318318415177280656e+00
1.234296482412060358e+00 1.406849731655379401e+02 5.389166522341400700e+00
1.244170854271356763e+00 1.413981277441148450e+02 5.462066743119653900e+00
1.254045226130653390e+00 1.421106585021416322e+02 5.537048562738796420e+00
1.263919597989949795e+00 1.428224913675621792e+02 5.614140009555932842e+00
1.273793969849246199e+00 1.435335521763240649e+02 5.693367680106931950e+00
1.283668341708542826e+00 1.442437666840705788e+02 5.774756768763488424e+00
1.293542713567839231e+00 1.449530605778400059e+02 5.858331101502579408e+00
1.303417085427135635e+00 1.456613594878022013e+02 5.944113173300505260e+00
1.313291457286432262e+00 1.463685889989824318e+02 6.032124188662492337e+00
1.323165829145728667e+00 1.470746746630225061e+02 6.122384104790945969e+00
1.333040201005025294e+00 1.477795420099305375e+02 6.214911676915408023e+00
1.342914572864321698e+00 1.484831165598507141e+02 6.309724505310280840e+00
1.352788944723618103e+00 1.491853238348271589e+02 6.406839083560476489e+00
1.362663316582914730e+00 1.498860893705850685e+02 6.506270847649427758e+00
1.372537688442210912e+00 1.505853387282818403e+02 6.608034225467926959e+00
1.382412060301507761e+00 1.512829975062941230e+02 6.712142686379893419e+00
1.392286432160803944e+00 1.519789913519648508e+02 6.818608790512375784e+00
1.402160804020100571e+00 1.526732459733589167e+02 6.927444237447372366e+00
1.412035175879396975e+00 1.533656871510065685e+02 7.038659914064394840e+00
1.421909547738693602e+00 1.540562407496327069e+02 7.152265941275516958e+00
1.431783919597990007e+00 1.547448327298657205e+02 7.268271719449335144e+00
1.441658291457286412e+00 1.554313891599358612e+02 7.386685972347419415e+00
