# z  DH  sigDH  DM  sigDM  DV  sigDV
1.678643216080402123e-01 4.051182622355395779e+03 1.450284967369613582e+02 7.130297207252366434e+02 8.927098822739613126e+01 7.018621600990775278e+02 5.917755038597704953e+01
1.777386934673367003e-01 4.027984916375999546e+03 1.395360062132016310e+02 7.529180730207320948e+02 9.038408573962591674e+01 7.403806974697785108e+02 5.986628813937458915e+01
1.876130653266331605e-01 4.004798826024880327e+03 1.344334800183588072e+02 7.925774198896207281e+02 9.140370909187726056e+01 7.785904246166426219e+02 6.049107673296652621e+01
1.974874371859296762e-01 3.981629155349995926e+03 1.297147392425103760e+02 8.320078997474138305e+02 9.234141705507543918e+01 8.164916114003386838e+02 6.106008161658525069e+01
2.073618090452261364e-01 3.958480619820154061e+03 1.253724514970005686e+02 8.712096980092462672e+02 9.320737040660668526e+01 8.540846163465433847e+02 6.158052812378117835e+01
2.172361809045226244e-01 3.935357844788685270e+03 1.213979901800114050e+02 9.101830462076291042e+02 9.401052849664893074e+01 8.913698848607527907e+02 6.205882770818629268e+01
2.271105527638190846e-01 3.912265364103280717e+03 1.177813195334687464e+02 9.489282210957514963e+02 9.475880919204888642e+01 9.283479474083335390e+02 6.250068029317286999e+01
2.369849246231156004e-01 3.889207618858385104e+03 1.145109169675083933e+02 9.874455437377608860e+02 9.545922069969280699e+01 9.650194176631915752e+02 6.291115838914525682e+01
2.468592964824120606e-01 3.866188956288319332e+03 1.115737430464694881e+02 1.025735378587417244e+03 9.611797151974002418e+01 1.001384990628500759e+03 6.329477713627439783e+01
2.567336683417085763e-01 3.843213628798299851e+03 1.089552670533111893e+02 1.063798132556500832e+03 9.674056318720306535e+01 1.037445440732835323e+03 6.365555337105034539e+01
2.666080402010050365e-01 3.820285793128507066e+03 1.066395523052615459e+02 1.101634254074305318e+03 9.733186931660677033e+01 1.073201619904788913e+03 6.399705605243873663e+01
2.764824120603014967e-01 3.797409509650055497e+03 1.046094007346942902e+02 1.139244232139531050e+03 9.789620363060301145e+01 1.108654455629424774e+03 6.432244982577934422e+01
2.863567839195980125e-01 3.774588741787780236e+03 1.028465512985254122e+02 1.176628595365851425e+03 9.843737903744479922e+01 1.143804948989488366e+03 6.463453308924610496e+01
2.962311557788944727e-01 3.751827355567339055e+03 1.013319222086523439e+02 1.213787911022390972e+03 9.895875936179072596e+01 1.178654172694467661e+03 6.493577161715361967e+01
3.061055276381909329e-01 3.729129119281796193e+03 1.000458834793542735e+02 1.250722784070326952e+03 9.946330498547669663e+01 1.213203269100290072e+03 6.522832855870744595e+01
3.159798994974874486e-01 3.706497703275398635e+03 9.896854431249100514e+01 1.287433856196771330e+03 9.995361338966004894e+01 1.247453448222599718e+03 6.551409144986553201e+01
3.258542713567839089e-01 3.683936679839374847e+03 9.808003960943497646e+01 1.323921804847074327e+03 1.004319553858405101e+02 1.281405985746206397e+03 6.579469673629645854e+01
3.357286432160804246e-01 3.661449523216333091e+03 9.736080126453659034e+01 1.360187342256633201e+03 1.009003076654212663e+02 1.315062221033355399e+03 6.607155219657903444e+01
3.456030150753769403e-01 3.639039609709635897e+03 9.679180251671918711e+01 1.396231214483265376e+03 1.013603821745392679e+02 1.348423555133385662e+03 6.634585756986635374e+01
3.554773869346734005e-01 3.616710217893213212e+03 9.635476699449993987e+01 1.432054200441153625e+03 1.018136527247098400e+02 1.381491448796125042e+03 6.661862362576250973e+01
3.653517587939698608e-01 3.594464528917719235e+03 9.603233765474374195e+01 1.467657110937343077e+03 1.022613791742653007e+02 1.414267420491334178e+03 6.689068986209751699e+01
3.752261306532663210e-01 3.572305626909535476e+03 9.580820414193946988e+01 1.503040787711716348e+03 1.027046294560157378e+02 1.446753044436476330e+03 6.716274097571816526e+01
3.851005025125628367e-01 3.550236499458397702e+03 9.566718986694094440e+01 1.538206102481346988e+03 1.031442996795305049e+02 1.478949948634915472e+03 6.743532221995135956e+01
3.949748743718593524e-01 3.528260038188814178e+03 9.559530216020472437e+01 1.573153955990082750e+03 1.035811324992159115e+02 1.510859812926449422e+03 6.770885373813422348e+01
4.048492462311557571e-01 3.506379039412539441e+03 9.557975017761469871e+01 1.607885277064169713e+03 1.040157339098619929e+02 1.542484367052259813e+03 6.798364394428421065e+01
4.147236180904522729e-01 3.484596204856864915e+03 9.560893589087325495e+01 1.642401021674696040e+03 1.044485886079094428e+02 1.573825388735930801e+03 6.825990200816461595e+01
4.245979899497487886e-01 3.462914142465570876e+03 9.567242361666384909e+01 1.676702172007582021e+03 1.048800740380573302e+02 1.604884701782352749e+03 6.853774949202990285e+01
4.344723618090452488e-01 3.441335367268285154e+03 9.576089326676348890e+01 1.710789735541820846e+03 1.053104732299738089e+02 1.635664174196093654e+03 6.881723117911776910e+01
4.443467336683417090e-01 3.419862302314249064e+03 9.586608198337471265e+01 1.744664744136618992e+03 1.057399865179677363e+02 1.666165716320725778e+03 6.909832512909841284e+01
4.542211055276381693e-01 3.398497279666492886e+03 9.598071817367878111e+01 1.778328253128056531e+03 1.061687422268984022e+02 1.696391279000506984e+03 6.938095199254053114e+01
4.640954773869346850e-01 3.377242541453869308e+03 9.609845126539094906e+01 1.811781340435849188e+03 1.065968063998218156e+02 1.726342851765936985e+03 6.966498361457401245e+01
4.739698492462312007e-01 3.356100240974779354e+03 9.621377983311133164e+01 1.845025105680754450e+03 1.070241916364825130e+02 1.756022461044025704e+03 6.995025095689550199e+01
4.838442211055277165e-01 3.335072443851891421e+03 9.632198013747367327e+01 1.878060669313127619e+03 1.074508651064531648e+02 1.785432168394894916e+03 7.023655136709417945e+01
